cosine	suggested_conforms_to	node	nearest_labelled_node
0.797	immune_checkpoint_blockade#Adaptive Immune Resistance	Metastatic_HCC::Immune Evasion and Viral-Inflammatory Selection	Laryngeal_Squamous_Cell_Carcinoma::Immune Evasion
0.796	fgfr_gain_of_function_skeletal_dysplasia#Cranial Suture Osteogenic Acceleration	Neurofibromatosis_Type_1::Osteoblast-Osteoclast Remodeling Defect	Apert_Syndrome::Enhanced osteoblast differentiation and matrix mineralization in cranial suture mesenchyme
0.796	ciliopathy_dysfunction#Basal Body and Transition Zone Dysfunction	Autosomal_Dominant_Polycystic_Kidney_Disease::Cilium-dependent cyst-promoting signal disinhibition	Orofaciodigital_Syndrome_Type_I::Primary Cilia Dysfunction
0.796	cardiac_ion_channel_repolarization#Arrhythmogenic Substrate and Triggered Activity	Hypertensive_Heart_Disease::Left Ventricular Hypertrophy	Brugada_Syndrome::Current-Load Mismatch at RVOT Substrate
0.796	cardiac_ion_channel_repolarization#Arrhythmogenic Substrate and Triggered Activity	DSP_Cardiomyopathy::Arrhythmogenesis and Sudden Cardiac Death	Timothy_Syndrome::Early afterdepolarizations and arrhythmogenic substrate
0.795	fibrotic_response#Excessive ECM Deposition	Kniest_Dysplasia::Defective Type II Collagen Fibril Assembly	Hepatic_Fibrinogen_Storage_Disease::Excessive Hepatic ECM Deposition
0.795	ciliopathy_dysfunction#Basal Body and Transition Zone Dysfunction	Meckel_Syndrome::Impaired initiation of ciliogenesis	Meckel_Syndrome::Basal body localization without proper ciliogenesis
0.795	immune_checkpoint_blockade#Adaptive Immune Resistance	Dermatomyositis::Perivascular Inflammation and Immune Cell Infiltration	Endometrial_Carcinoma::Adaptive Immune Resistance
0.795	fgfr_gain_of_function_skeletal_dysplasia#Constitutive FGFR Activation	Thanatophoric_Dysplasia_Type_2::STAT1/p21-mediated growth plate chondrocyte arrest	Achondroplasia::FGFR3 gain-of-function signaling
0.795	neural_crest_melanocyte_deficiency#Melanoblast Migration and Survival Defect	Nevus_of_Ota::Aberrant Neural Crest Melanoblast Migration	EDN3_EDNRB_Waardenburg_Shah::Terminal migration defect of melanoblast and enteric precursors
0.795	somatotroph_camp_pka_overactivation#Somatotroph proliferation and adenoma growth	Combined_Pituitary_Hormone_Deficiencies_Genetic_Form::Anterior Pituitary Endocrine-Axis Failure	GPR101-related_pituitary_adenoma_2::Somatotroph/lactotroph pituitary hyperplasia or adenoma
0.795	osteoporosis_bone_resorption#Increased Osteoclastic Bone Resorption	Autosomal_Dominant_Osteopetrosis_Type_II::Impaired Resorption Lacuna Acidification	Osteoporosis::Microgravity-Accelerated Bone Resorption
0.795	immune_checkpoint_blockade#Anti-Tumor T Cell Response	Primary_Biliary_Cholangitis::Biliary Epithelial Cell Targeting	MSI_High_Colorectal_Cancer::Neoantigen-Driven Immune Response
0.794	cardiac_ion_channel_repolarization#Arrhythmogenic Substrate and Triggered Activity	Carnitine-Acylcarnitine_Translocase_Deficiency::Cardiac energy failure and arrhythmogenesis	Timothy_Syndrome::Early afterdepolarizations and arrhythmogenic substrate
0.794	cerebellar_purkinje_degeneration#Purkinje Cell Calcium and Proteostasis Dysregulation	Autosomal_Dominant_Cerebellar_Ataxia_Type_III::IP3R1 Haploinsufficiency and Calcium Release Defects	Spinocerebellar_Ataxia_Type_17::Cerebellar INPP5A loss drives Purkinje cell vulnerability
0.794	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Medullary_Thyroid_Carcinoma::RAS Mutation-Driven Proliferation	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.794	immune_checkpoint_blockade#Adaptive Immune Resistance	LRBA_Deficiency::Impaired immune checkpoint suppression	Angiosarcoma::Adaptive Immune Resistance
0.794	fgfr_gain_of_function_skeletal_dysplasia#Cranial Suture Osteogenic Acceleration	Weaver_Syndrome::Dysregulated Osteoblast Differentiation and Skeletal Overgrowth	Apert_Syndrome::Enhanced osteoblast differentiation and matrix mineralization in cranial suture mesenchyme
0.794	rtk_grb2_signaling_adaptation#Activated RTK Phosphotyrosine Docking	Gastrointestinal_Stromal_Tumor::KIT Receptor Tyrosine Kinase Activation	HER2_Positive_Breast_Cancer::Constitutive Receptor Activation
0.793	nephrotic_podocyte_injury#Glomerular Filtration Barrier Breakdown	Minimal_Change_Disease::Glomerular Filtration Barrier Failure	Focal_Segmental_Glomerulosclerosis::Glomerular Filtration Barrier Dysfunction
0.793	epilepsy_excitation_inhibition_imbalance#Excitation-Inhibition Imbalance	15q11q13_Microduplication_Syndrome::UBE3A overexpression-driven neuronal hyperexcitability	Epilepsy::Neuronal Hyperexcitability
0.793	cardiac_ion_channel_repolarization#Syncope and Sudden Cardiac Death	PKP2_Cardiomyopathy::Sudden Cardiac Death	Long_QT_Syndrome::Syncope and Sudden Cardiac Death
0.792	cardiac_ion_channel_repolarization#Arrhythmogenic Substrate and Triggered Activity	Atrial_Septal_Defect::Pulmonary Vascular and Ventricular Complications	Brugada_Syndrome::RVOT Conduction Slowing
0.792	er_protein_storage_disease#Hepatic Protein Aggregation	Diastrophic_Dysplasia::Collagen Retention in Endoplasmic Reticulum	Alpha_1_Antitrypsin_Deficiency::Hepatic Protein Aggregation
0.792	ciliopathy_dysfunction#Hypothalamic Ciliary Signaling and Metabolic Dysfunction	Panic_Disorder::Orexin and Hypothalamic Panic Reactivity	Bardet-Biedl_Syndrome::Hypothalamic leptin receptor signaling defect
0.792	cardiac_ion_channel_repolarization#Cardiac Ion-Channel or Calcium-Handling Variant	Hypokalemic_Periodic_Paralysis::Gating-Pore Leak Current	Long_QT_Syndrome::Persistent Late Sodium Current in LQT3
0.792	intestinal_barrier_dysfunction#Luminal Access and Inflammatory Amplification	Irritable_Bowel_Syndrome::Microbiome Dysbiosis	Chemotherapy_Induced_Diarrhea::Dysbiosis-associated inflammatory amplification
0.792	immune_checkpoint_blockade#Adaptive Immune Resistance	Long_COVID::T Cell Exhaustion and Tissue Trafficking	Plasma_Cell_Neoplasm::Immune Evasion and T-Cell Exhaustion
0.791	ciliopathy_dysfunction#Basal Body and Transition Zone Dysfunction	Jeune_Asphyxiating_Thoracic_Dystrophy::Dynein Motor Complex Deficiency	Short-Rib_Polydactyly_Syndrome::Intraflagellar Transport and Ciliogenesis Defects
0.791	fibrotic_response#Excessive ECM Deposition	Pancreatic_Ductal_Adenocarcinoma::Desmoplastic Stroma	Wilsons_Disease::Excessive Hepatic ECM Deposition
0.791	immune_checkpoint_blockade#Adaptive Immune Resistance	Pancreatic_Ductal_Adenocarcinoma::CAF-Mediated T Cell Exclusion	Plasma_Cell_Neoplasm::Immune Evasion and T-Cell Exhaustion
0.790	osteoporosis_bone_resorption#Increased Osteoclastic Bone Resorption	Idiopathic_Phalangeal_Acro-osteolysis::Distal phalangeal bone resorption	Osteoporosis::Microgravity-Accelerated Bone Resorption
0.790	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	Chronic_Myeloid_Leukemia::RAS-MAPK Pathway Hyperactivation	Thanatophoric_Dysplasia_Type_2::Sustained ERK/MAPK pathway activation
0.790	immune_checkpoint_blockade#Adaptive Immune Resistance	Cholangiocarcinoma::Immunosuppressive Tumor Microenvironment	Anaplastic_Thyroid_Carcinoma::Adaptive Immune Resistance and Immunosuppressive Microenvironment
0.790	polyglutamine_expansion_proteotoxicity#Transcriptional Dysregulation	Borjeson-Forssman-Lehmann_syndrome::PHF6-related transcriptional dysregulation	Dentatorubral-Pallidoluysian_Atrophy::ATN1 Transcriptional Co-repressor Dysregulation
0.790	ciliopathy_dysfunction#Renal Tubular Cystic and Fibrotic Disease	Autosomal_Dominant_Polycystic_Kidney_Disease::Renal cyst expansion and kidney enlargement	Jeune_Asphyxiating_Thoracic_Dystrophy::Renal Cystogenesis
0.789	aortopathy_tgfbeta_dysregulation#Aortic Wall ECM or Contractile Apparatus Defect	CADASIL_Type_1::Granular Osmiophilic Material (GOM) Accumulation	Familial_Thoracic_Aortic_Aneurysm_and_Aortic_Dissection::Extracellular matrix structural failure
0.789	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Episodic_Ataxia::Purkinje Cell Pacemaking Imprecision (EA2)	Spinocerebellar_Ataxia_Type_17::Cerebellar Purkinje cell degeneration
0.789	fibrotic_response#Mesenchymal Cell Activation	Cholesteatoma::Extracellular matrix remodeling in the perimatrix	Sarcoidosis::Fibrotic Tissue Remodeling
0.789	aortopathy_tgfbeta_dysregulation#TGF-beta Signaling Dysregulation	Cardiospondylocarpofacial_Syndrome::Impaired non-canonical TGF-beta/BMP-MAPK-p38 signaling	Loeys-Dietz_Syndrome::Paradoxical TGF-beta Signaling
0.789	immune_checkpoint_blockade#Adaptive Immune Resistance	Hashimotos_Thyroiditis::Lymphocytic Infiltration	Endometrial_Carcinoma::Adaptive Immune Resistance
0.788	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	ATTR_Amyloidosis::Oxidative Stress and Mitochondrial Dysfunction	Huntington_Disease::Mitochondrial Dysfunction
0.788	immune_checkpoint_blockade#Adaptive Immune Resistance	Osteosarcoma::Tumor Immune Microenvironment Remodeling	Anaplastic_Thyroid_Carcinoma::Adaptive Immune Resistance and Immunosuppressive Microenvironment
0.787	er_protein_storage_disease#Hepatic Protein Aggregation	Polymyositis::ER Stress and Unfolded Protein Response	Alpha_1_Antitrypsin_Deficiency::Hepatic Protein Aggregation
0.787	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Panic_Disorder::Inflammatory and Neuroplasticity Signals	Huntington_Disease::Medium Spiny Neuron Degeneration
0.787	immune_checkpoint_blockade#Adaptive Immune Resistance	Wissler_syndrome::Th1/Th17 adaptive immune hyperactivation	Endometrial_Carcinoma::Adaptive Immune Resistance
0.787	ciliopathy_dysfunction#Impaired Hedgehog Signal Transduction	Bohring-Opitz_syndrome::ASXL1 truncation dysregulates Wnt signaling and tissue patterning	Nephronophthisis::Impaired Cell Signaling
0.787	ciliopathy_dysfunction#Basal Body and Transition Zone Dysfunction	Visceral_Heterotaxy::Left-right organizer ciliary dysfunction	Orofaciodigital_Syndrome_Type_I::Primary Cilia Dysfunction
0.787	rtk_grb2_signaling_adaptation#Activated RTK Phosphotyrosine Docking	B-Lymphoblastic_Leukemia_Lymphoma_With_Recurrent_Genetic_Abnormality::Altered B-cell Development and Signaling	HER2_Positive_Breast_Cancer::Constitutive Receptor Activation
0.786	fgfr_gain_of_function_skeletal_dysplasia#Cranial Suture Osteogenic Acceleration	Adams-Oliver_Syndrome::Defective Skeletal Morphogenesis	Pfeiffer_Syndrome::Accelerated cranial suture osteogenesis
0.786	epilepsy_excitation_inhibition_imbalance#Excitation-Inhibition Imbalance	ANK2_Ankyrin_B_Syndrome::Neuronal Network Hyperactivity	Epilepsy::Neuronal Hyperexcitability
0.786	immune_checkpoint_blockade#Adaptive Immune Resistance	Satoyoshi_Syndrome::Systemic Autoimmune Activation	Anaplastic_Thyroid_Carcinoma::Adaptive Immune Resistance and Immunosuppressive Microenvironment
0.785	immune_checkpoint_blockade#Adaptive Immune Resistance	MHC_Class_II_Deficiency::Combined cellular and humoral immune deficiency	Endometrial_Carcinoma::Adaptive Immune Resistance
0.785	cardiac_ion_channel_repolarization#Altered Action Potential and Calcium Handling	Down_syndrome::Impaired Cardiogenesis	Short_QT_Syndrome::Accelerated myocardial repolarization
0.785	neural_crest_melanocyte_deficiency#Cutaneous Hair and Iris Melanocyte Deficiency	Nevus_of_Ota::Uveal Melanoma Risk	PAX3_Waardenburg_Spectrum::Cutaneous hair and iris melanocyte deficiency
0.785	fgfr_gain_of_function_skeletal_dysplasia#Constitutive FGFR Activation	Punctate_Palmoplantar_Keratoderma::Growth Factor Receptor Signaling Increase	Crouzon_Syndrome_with_Acanthosis_Nigricans::FGFR3 A391E Gain-of-Function
0.785	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Neuronal_Ceroid_Lipofuscinosis::Apoptotic Signaling	Huntington_Disease::Medium Spiny Neuron Degeneration
0.785	fibrotic_response#Excessive ECM Deposition	Hepatitis_B::Liver Fibrosis	Hepatic_Veno-occlusive_Disease-Immunodeficiency_Syndrome::Progressive hepatic fibrosis and organ dysfunction
0.785	neural_crest_melanocyte_deficiency#Melanoblast Migration and Survival Defect	KIT_Mutant_Melanoma::Uncontrolled Melanocyte Proliferation	SOX10_Neurocristopathy_Spectrum::Melanocyte lineage failure
0.784	fibrotic_response#Excessive ECM Deposition	Arsenic_Poisoning::Hepatic Fibrosis	Hepatic_Fibrinogen_Storage_Disease::Excessive Hepatic ECM Deposition
0.784	intestinal_barrier_dysfunction#Paracellular Barrier Leak	Leptospirosis::VM protein-mediated epithelial barrier disruption	Chemotherapy_Induced_Diarrhea::Paracellular barrier leak and mucosal break formation
0.784	cardiac_ion_channel_repolarization#Cardiac Ion-Channel or Calcium-Handling Variant	Hypertrophic_Cardiomyopathy::Altered Calcium Handling	Brugada_Syndrome::Reduced Depolarization Reserve
0.784	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Essential_Hypertension::Vascular Resistance	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.784	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Spinocerebellar_Ataxia_Type_17::Striatal and caudate degeneration	Huntington_Disease::Medium Spiny Neuron Degeneration
0.784	ciliopathy_dysfunction#Photoreceptor Connecting Cilium Degeneration	NARP_syndrome::Retinal degeneration	Alstrom_Syndrome::Photoreceptor Degeneration
0.784	ciliopathy_dysfunction#Photoreceptor Connecting Cilium Degeneration	PHARC_syndrome::Retinal degeneration	Alstrom_Syndrome::Photoreceptor Degeneration
0.784	ciliopathy_dysfunction#Hypothalamic Ciliary Signaling and Metabolic Dysfunction	Obesity_Due_to_MC4R_Pathway_Disruption::MC4R pathway signaling failure	Bardet-Biedl_Syndrome::Hypothalamic leptin receptor signaling defect
0.783	lysosomal_substrate_accumulation#Lysosomal Substrate Accumulation	Krabbe_Disease::GalCer-Driven Macrophage Pathology	Gaucher_Disease::Glucocerebroside Accumulation in Macrophages
0.783	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	X-linked_Dystonia-Parkinsonism::Striatal medium spiny neuron degeneration	Huntington_Disease::Medium Spiny Neuron Degeneration
0.783	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Bipolar_Disorder::Monoamine Dysregulation	Machado_Joseph_Disease::Multifocal neurodegeneration
0.783	photoreceptor_degeneration#Rod Photoreceptor Apoptosis	BEST1_Bestrophinopathies::RPE-Photoreceptor Interface Disruption	CRB1_Retinal_Dystrophies::Progressive photoreceptor degeneration and visual loss
0.783	fgfr_gain_of_function_skeletal_dysplasia#Cranial Suture Osteogenic Acceleration	Gorlin_Syndrome::Hedgehog-Driven Osteogenic Dysregulation	Pfeiffer_Syndrome::Accelerated cranial suture osteogenesis
0.782	polyglutamine_expansion_proteotoxicity#Transcriptional Dysregulation	Dentici-Novelli_neurodevelopmental_syndrome::ZNF526-related transcriptional dysregulation	Dentatorubral-Pallidoluysian_Atrophy::ATN1 Transcriptional Co-repressor Dysregulation
0.782	ciliopathy_dysfunction#Photoreceptor Connecting Cilium Degeneration	RPGR-Related_Retinopathy::Outer-segment cargo trafficking failure	Alstrom_Syndrome::Photoreceptor Degeneration
0.782	aortopathy_tgfbeta_dysregulation#Aortic Medial Degeneration and Wall Weakening	CADASIL_Type_1::Matrisome Sequestration and HTRA1 Loss-of-Function	Marfan_Syndrome::Extracellular Matrix Remodeling
0.782	rtk_grb2_signaling_adaptation#Activated RTK Phosphotyrosine Docking	Non-Small_Cell_Lung_Cancer::Oncogenic Driver Mutations	HER2_Positive_Breast_Cancer::Constitutive Receptor Activation
0.782	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	3-Hydroxy-3-Methylglutaric_Aciduria::HMG-mediated neurotoxicity via mitochondrial dysfunction	Huntington_Disease::Mitochondrial Dysfunction
0.782	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	Glutaryl-CoA_Dehydrogenase_Deficiency::Oxidative stress and neuroinflammation	Huntington_Disease::Mitochondrial Dysfunction
0.782	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	PTEN_Hamartoma_Tumor_Syndrome::PTEN loss and PI3K AKT mTOR activation	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.781	epilepsy_excitation_inhibition_imbalance#Excitation-Inhibition Imbalance	Generalized_Epilepsy_with_Febrile_Seizures_Plus::Network hyperexcitability and seizures	Epilepsy::Neuronal Hyperexcitability
0.781	aortopathy_tgfbeta_dysregulation#TGF-beta Signaling Dysregulation	Clear_Cell_Renal_Cell_Carcinoma::VEGF-Driven Angiogenesis	Arterial_Tortuosity_Syndrome::Arterial-wall TGF-beta pathway upregulation
0.781	cardiac_ion_channel_repolarization#Altered Action Potential and Calcium Handling	Central_Core_Myopathy::Dominant RYR1 missense hotspot variants	RYR2_CPVT::RYR2 Gain-of-Function Calcium Leak
0.781	cardiac_ion_channel_repolarization#Ventricular Tachyarrhythmia	Fabry_Disease::Atrial cardiomyocyte electrophysiological remodeling	Short_QT_Syndrome::Atrial and ventricular fibrillation susceptibility
0.781	fame_pentanucleotide_repeat_rna_toxicity#Cortical Hyperexcitability and Seizure Susceptibility	Angelman_Syndrome::Cortical network hyperexcitability with abnormal EEG background	Pentanucleotide_Repeat_Familial_Adult_Myoclonus_Epilepsy::Cortical hyperexcitability and seizure susceptibility
0.780	fame_pentanucleotide_repeat_rna_toxicity#Cortical Hyperexcitability and Seizure Susceptibility	Angelman_Syndrome::Disrupted neuronal excitability homeostasis	Pentanucleotide_Repeat_Familial_Adult_Myoclonus_Epilepsy::Cortical hyperexcitability and seizure susceptibility
0.780	immune_checkpoint_blockade#Adaptive Immune Resistance	Myalgic_Encephalomyelitis_Chronic_Fatigue_Syndrome::CD8+ T Cell Exhaustion	Plasma_Cell_Neoplasm::Immune Evasion and T-Cell Exhaustion
0.780	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Cowden_Syndrome::PTEN Loss and PI3K/AKT/mTOR Pathway Activation	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.779	lysosomal_substrate_accumulation#Lysosomal Substrate Accumulation	Whipple_Disease::Macrophage dysfunction and malabsorption	Gaucher_Disease::Glucocerebroside Accumulation in Macrophages
